         ps       /top/inA  /top/inC               /top/S        
          delta        /top/inB  /top/inD                        
          0  +0       UUUU UUUU UUUU UUUU UUUUUUUUUUUUUUU 
          0  +2       UUUU UUUU UUUU UUUU UUUUUUUUUUUUU00 
      10000  +0       1111 0000 0000 0000 UUUUUUUUUUUUU00 
      10000  +5       1111 0000 0000 0000 0UUUUUUUUUUU000 
      10000  +6       1111 0000 0000 0000 0UUUUUUUUUU0000 
      10000  +7       1111 0000 0000 0000 00UUUUUUUUU0000 
      10000  +8       1111 0000 0000 0000 000UUU0UUU00000 
      10000  +9       1111 0000 0000 0000 00000100U000000 
      10000 +10       1111 0000 0000 0000 000001001000000 
      20000  +0       0000 1111 0000 0000 000001001000000 
      20000  +6       0000 1111 0000 0000 000001001001000 
      20000  +7       0000 1111 0000 0000 000000001001000 
      20000  +8       0000 1111 0000 0000 000011011011000 
      20000  +9       0000 1111 0000 0000 000001011111000 
      20000 +10       0000 1111 0000 0000 000001010111000 
      30000  +0       0000 0000 1111 0000 000001010111000 
      30000  +5       0000 0000 1111 0000 000000010110000 
      30000  +6       0000 0000 1111 0000 000000001010000 
      30000  +7       0000 0000 1111 0000 000001111100000 
      30000  +8       0000 0000 1111 0000 001100110000000 
      30000  +9       0000 0000 1111 0000 000100111000000 
      40000  +0       0000 0000 0000 1111 000100111000000 
      40000  +4       0000 0000 0000 1111 000100111000100 
      40000  +5       0000 0000 0000 1111 001000111110000 
      40000  +6       0000 0000 0000 1111 000000101100000 
      40000  +7       0000 0000 0000 1111 010000001100000 
      40000  +8       0000 0000 0000 1111 010100000000000 
      40000  +9       0000 0000 0000 1111 011000001000000 
      40000 +10       0000 0000 0000 1111 000000001000000 
      40000 +11       0000 0000 0000 1111 010000001000000 
      50000  +0       0000 0000 0000 0000 010000001000000 
      50000  +4       0000 0000 0000 0000 010000001000100 
      50000  +5       0000 0000 0000 0000 011101001110100 
      50000  +6       0000 0000 0000 0000 000100110010100 
      50000  +7       0000 0000 0000 0000 000000011100100 
      50000  +8       0000 0000 0000 0000 000000000100100 
      60000  +0       0001 0000 0000 0000 000000000100100 
      60000  +5       0001 0000 0000 0000 000000000100000 
      60000  +6       0001 0000 0000 0000 000000000101000 
      60000  +7       0001 0000 0000 0000 000000000001000 
      60000  +8       0001 0000 0000 0000 000000001001000 
      70000  +0       0000 0001 0000 0000 000000001001000 
      70000  +6       0000 0001 0000 0000 000000001000000 
      70000  +8       0000 0001 0000 0000 000000001010000 
      80000  +0       0000 0000 0001 0000 000000001010000 
      80000  +6       0000 0000 0001 0000 000000011111000 
      80000  +7       0000 0000 0001 0000 000000011011000 
      80000  +8       0000 0000 0001 0000 000000011001000 
      90000  +0       0000 0000 0000 0001 000000011001000 
      90000  +4       0000 0000 0000 0001 000000011001100 
      90000  +5       0000 0000 0000 0001 000001011101000 
      90000  +6       0000 0000 0000 0001 000001001001000 
     100000  +0       0001 0001 0000 0000 000001001001000 
     100000  +4       0001 0001 0000 0000 000001001001100 
     100000  +5       0001 0001 0000 0000 000000001101100 
     100000  +6       0001 0001 0000 0000 000000000100100 
     100000  +8       0001 0001 0000 0000 000000001110100 
     110000  +0       0001 0000 0001 0000 000000001110100 
     110000  +6       0001 0000 0001 0000 000000011011100 
     110000  +7       0001 0000 0001 0000 000000010111100 
     110000  +8       0001 0000 0001 0000 000000101101100 
     110000  +9       0001 0000 0001 0000 000000011101100 
     120000  +0       0001 0000 0000 0001 000000011101100 
     120000  +4       0001 0000 0000 0001 000000011101000 
     120000  +5       0001 0000 0000 0001 000001011001100 
     120000  +6       0001 0000 0000 0001 000001010101100 
     120000  +7       0001 0000 0000 0001 000001001101100 
     130000  +0       0000 0001 0001 0000 000001001101100 
     130000  +4       0000 0001 0001 0000 000001001101000 
     130000  +5       0000 0001 0001 0000 000000001000100 
     130000  +6       0000 0001 0001 0000 000000011100100 
     130000  +7       0000 0001 0001 0000 000000011110100 
     140000  +0       0000 0001 0000 0001 000000011110100 
     140000  +4       0000 0001 0000 0001 000000011110000 
     140000  +5       0000 0001 0000 0001 000001011010100 
     140000  +6       0000 0001 0000 0001 000001010110100 
     140000  +7       0000 0001 0000 0001 000001001110100 
     150000  +0       0000 0000 0001 0001 000001001110100 
     150000  +6       0000 0000 0001 0001 000001011011100 
     150000  +7       0000 0000 0001 0001 000001100111100 
     150000  +8       0000 0000 0001 0001 000001011101100 
     160000  +0       0000 0000 0000 0000 000001011101100 
     160000  +4       0000 0000 0000 0000 000001011101000 
     160000  +5       0000 0000 0000 0000 000000011001100 
     160000  +6       0000 0000 0000 0000 000000001100100 
     160000  +7       0000 0000 0000 0000 000000000100100 
     170000  +0       0010 0000 0000 0000 000000000100100 
     170000  +6       0010 0000 0000 0000 000000000101100 
     170000  +7       0010 0000 0000 0000 000000001101100 
     180000  +0       0000 0010 0000 0000 000000001101100 
     180000  +6       0000 0010 0000 0000 000000001111100 
